X	Y	occurrencedate	premisetype	occurrencedayofweek	occurrencehour	Division	Neighbourhood
-79.3499756	43.7171021	2016-04-02T04:00:00.000Z	Outside	Saturday  	14	D33	Banbury-Don Mills (42)
-79.2625809	43.8078499	2016-04-02T04:00:00.000Z	House	Saturday  	23	D42	Agincourt North (129)
-79.5461655	43.6889381	2016-04-04T04:00:00.000Z	House	Monday    	20	D23	Kingsview Village-The Westway (6)
-79.3175964	43.7518044	2016-04-03T04:00:00.000Z	Outside	Sunday    	3	D33	Parkwoods-Donalda (45)
-79.4117661	43.7648163	2016-04-01T04:00:00.000Z	Outside	Friday    	8	D32	Willowdale East (51)
-79.5147705	43.7672119	2016-03-28T04:00:00.000Z	Outside	Monday    	11	D31	Black Creek (24)
-79.5315094	43.7140923	2016-04-06T04:00:00.000Z	Outside	Wednesday 	19	D12	Pelmo Park-Humberlea (23)
-79.4873352	43.7604256	2016-03-30T04:00:00.000Z	Outside	Wednesday 	17	D31	York University Heights (27)
-79.4149475	43.6505013	2016-04-08T04:00:00.000Z	Outside	Friday    	20	D14	Trinity-Bellwoods (81)
-79.4307022	43.6740456	2016-04-08T04:00:00.000Z	Outside	Friday    	22	D13	Wychwood (94)
-79.448822	43.6492004	2016-04-08T04:00:00.000Z	House	Friday    	20	D11	Roncesvalles (86)
-79.5811157	43.7138481	2016-02-10T05:00:00.000Z	Commercial	Wednesday 	19	D23	West Humber-Clairville (1)
-79.4602051	43.7586632	2016-04-08T04:00:00.000Z	House	Friday    	23	D32	Bathurst Manor (34)
-79.5614548	43.617733	2016-04-10T04:00:00.000Z	Commercial	Sunday    	7	D22	Islington-City Centre West (14)
-79.2954102	43.7138596	2016-04-11T04:00:00.000Z	House	Monday    	23	D41	Clairlea-Birchmount (120)
-79.3373184	43.7165565	2015-12-26T05:00:00.000Z	Outside	Saturday  	16	D54	Flemingdon Park (44)
-79.5320358	43.7312279	2016-04-11T04:00:00.000Z	Outside	Monday    	20	D31	Pelmo Park-Humberlea (23)
-79.3127518	43.7731361	2016-04-14T04:00:00.000Z	House	Thursday  	20	D42	Tam O'Shanter-Sullivan (118)
-79.2709198	43.6877594	2016-04-16T04:00:00.000Z	Apartment	Saturday  	3	D41	Birchcliffe-Cliffside (122)
-79.4059906	43.6554375	2016-04-15T04:00:00.000Z	Outside	Friday    	18	D14	Kensington-Chinatown (78)
-79.4715958	43.7131615	2016-04-12T04:00:00.000Z	House	Tuesday   	23	D12	Maple Leaf (29)
-79.5873032	43.689518	2016-04-06T04:00:00.000Z	Outside	Wednesday 	9	D23	West Humber-Clairville (1)
